"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MTMR11"	"monocyte"	"Human"	1	"CL:0000576"	"myotubularin related protein 11 "	NA	NA	NA	NA	"Monocyte"	NA
"MTMR11"	"neutrophil"	"Human"	1	"CL:0000775"	"myotubularin related protein 11 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MTPN"	"monocyte"	"Human"	1	"CL:0000576"	"myotrophin "	"MONOCYTE"	NA	NA	NA	NA	NA
"MTSS1"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"MTSS I-BAR domain containing 1 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MTSS1"	"monocyte"	"Human"	1	"CL:0000576"	"MTSS I-BAR domain containing 1 "	"MONOCYTE"	NA	NA	NA	NA	NA
"MTURN"	"platelet"	"Human"	1	"CL:0000233"	"maturin, neural progenitor differentiation regulator homolog "	"PLATELET"	NA	NA	NA	NA	NA
"MTX1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"metaxin 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTX2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"metaxin 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MUC1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mucin 1, cell surface associated "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	NA
"MVD"	"natural killer cell"	"Human"	1	"CL:0000623"	"mevalonate diphosphate decarboxylase "	"NK CELLS"	NA	NA	NA	NA	NA
"MX1"	"monocyte"	"Human"	1	"CL:0000576"	"MX dynamin like GTPase 1 "	NA	"Monocytes"	NA	NA	NA	NA
"MXD1"	"neutrophil"	"Human"	2	"CL:0000775"	"MAX dimerization protein 1 "	"NEUTROPHIL"	NA	NA	"neutrophil"	NA	NA
"MXD3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"MAX dimerization protein 3 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MXD3"	"pro-B cell"	"Human"	1	"CL:0000826"	"MAX dimerization protein 3 "	"PRO B"	NA	NA	NA	NA	NA
"MYADM"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"myeloid associated differentiation marker "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
